stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixationn.started,grating.started,key_resp.started,fixationn.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
35,0.5,1,39.3934484,,39.3776148,39.3934484,39.8767583,39.8767583,39.8934581,40.1766523,40.7443639,left,-1,0,0,0.8605039,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
36,0.5,1.5,40.7599727,,40.7444696,40.7599727,41.2436136,41.2436136,41.2602547,41.5433277,41.7611295,left,-1.5,1,1,0.5159412,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
37,0.5,1.5,41.7766882,,41.7612012,41.7766882,42.2767828,42.2767828,42.2767828,42.5767063,42.944193,left,-1.5,1,1,0.6511785,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
38,0.5,1.5,42.9600516,,42.9442615,42.9600516,43.4434479,43.4434479,43.4603701,43.7433373,43.9943378,right,1.5,1,1,0.5436655,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
39,0.5,1,44.0100437,,43.9944297,44.0100437,44.5101618,44.5101618,44.5101618,44.8100924,45.0775475,left,-1,1,1,0.5522753,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
40,0.5,1,45.0935252,,45.0776177,45.0935252,45.5769092,45.5769092,45.5935605,45.8766941,46.0945036,left,-1,1,1,0.5164889,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
41,0.5,1,46.1102182,,46.0945736,46.1102182,46.6102063,46.6102063,46.6102063,46.9100607,47.0942676,right,1,1,1,0.469693,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
42,0.5,1,47.1101333,,47.094342,47.1101333,47.5935818,47.5935818,47.6102343,47.8935295,48.0444668,right,1,0,0,0.4496647,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
43,0.5,1.5,48.0600501,,48.0445404,48.0600501,48.5435379,48.5435379,48.5601372,48.8433876,49.0276663,left,-1.5,1,1,0.4766478,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
44,0.5,1.5,49.0437159,,49.0277322,49.0437159,49.5434548,49.5434548,49.5434548,49.8432732,50.144847,left,-1.5,1,1,0.584705,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
